City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Jinchang,CN,38.4953,102.1739,43.02,19,0,6.2,clear sky
299,Gazimurskiy Zavod,RU,51.5461,118.3266,21.06,78,1,11.39,clear sky
300,Hazorasp,UZ,41.3194,61.0742,40.84,65,23,2.86,few clouds
301,Pervomayskiy,RU,53.2485,40.2871,27.12,69,100,6.55,overcast clouds
302,Hay River,CA,60.8156,-115.7999,-16.8,91,46,8.93,scattered clouds
303,Alexandria,EG,31.2156,29.9553,64.94,60,0,20.96,clear sky
304,Freeport,US,40.6576,-73.5832,43.02,65,1,1.01,clear sky
305,Laguna,US,38.421,-121.4238,54.1,95,90,1.01,mist
306,Gazanjyk,TM,39.2446,55.5154,53.01,48,0,13.67,clear sky
307,Dalby,AU,-27.1833,151.2667,73.26,67,87,19.19,overcast clouds
308,Parintins,BR,-2.6283,-56.7358,73.98,95,100,2.28,overcast clouds
309,Burnie,AU,-41.0667,145.9167,58.39,61,30,8.08,scattered clouds
310,Senno,RU,59.5336,33.9167,2.16,89,100,6.38,overcast clouds
311,Nishihara,JP,26.1842,127.7558,69.08,50,40,14.97,scattered clouds
312,Faya,SA,18.3851,42.4509,72.12,25,0,4.05,clear sky
313,Rio Cuarto,AR,-33.1307,-64.3499,61.66,95,74,4.83,broken clouds
314,Sabang,ID,5.8933,95.3214,81.88,73,25,15.86,moderate rain
315,Kankon,IN,15.0167,74.0167,82.18,69,4,10.65,clear sky
316,Anloga,GH,5.7947,0.8973,83.19,74,98,4.03,overcast clouds
317,Bambanglipuro,ID,-7.95,110.2833,80.96,75,100,10.94,overcast clouds
318,Neuquen,AR,-38.9516,-68.0591,57.09,88,0,0.0,clear sky
319,Takoradi,GH,4.8845,-1.7554,82.49,75,27,5.97,scattered clouds
320,Gudur,IN,14.1333,79.85,90.72,51,0,4.56,clear sky
321,Vieux-Habitants,GP,16.0589,-61.7659,74.77,77,67,11.74,broken clouds
322,Leningradskiy,RU,69.3833,178.4167,-7.46,98,100,5.28,overcast clouds
323,Hobyo,SO,5.3505,48.5268,83.26,56,86,19.71,overcast clouds
324,Mahebourg,MU,-20.4081,57.7,85.24,67,16,13.18,few clouds
325,Port-Gentil,GA,-0.7193,8.7815,80.22,83,75,8.14,light rain
326,Misratah,LY,32.3754,15.0925,58.1,49,3,15.14,clear sky
327,Sitka,US,57.0531,-135.33,30.09,86,90,4.61,light snow
328,Touros,BR,-5.1989,-35.4608,79.7,82,46,12.57,scattered clouds
329,San Quintin,MX,30.4833,-115.95,59.92,83,97,10.71,overcast clouds
330,Cap-Aux-Meules,CA,47.3821,-61.8597,28.42,59,98,11.5,overcast clouds
331,Abu Samrah,SY,35.3029,37.1841,58.66,38,100,3.71,overcast clouds
332,Buritizeiro,BR,-17.3511,-44.9622,67.28,95,18,2.91,few clouds
333,Bam,IR,29.106,58.357,62.11,33,0,6.91,clear sky
334,Beringovskiy,RU,63.05,179.3167,30.92,99,100,5.39,light snow
335,Vredendal,ZA,-31.6683,18.5012,65.44,65,88,5.44,light rain
336,Port Hardy,CA,50.6996,-127.4199,41.0,70,100,13.38,overcast clouds
337,Camacha,PT,33.0833,-16.3333,61.56,72,75,9.22,broken clouds
338,Eirunepe,BR,-6.6603,-69.8736,72.68,100,100,1.86,overcast clouds
339,Mount Gambier,AU,-37.8333,140.7667,59.0,55,0,11.92,clear sky
340,Ostrovnoy,RU,68.0531,39.5131,5.16,93,80,9.57,broken clouds
341,Rawson,AR,-43.3002,-65.1023,66.43,39,0,9.73,clear sky
342,Kokopo,PG,-4.352,152.2633,78.46,88,100,9.69,moderate rain
343,Mildura,AU,-34.2,142.15,78.76,19,100,6.91,overcast clouds
344,Namibe,AO,-15.1961,12.1522,74.64,65,75,3.11,broken clouds
345,Dafeng,CN,23.4517,108.5881,71.15,32,63,6.4,broken clouds
